,Unnamed: 0,artist,title,label,lyrics
49,49,Staind,Mudshovel,angry,"You take away
I feel the same
You take away
I feel the same
All the promises you made to me

you made in vain

I lost myself inside your tainted 

smile again

Cause...



You can't feel my anger

You can't feel my pain 

You can't feel my torment 

Driving me insane 

I can't fight these feelings, 

they will bring you pain

You can't take away

Make me whole again



I feel betrayed

Stuck in your way

And you rip me apart with 

the brutal things you say

I can't deal with this shit anymore

I just look away

Cause...



You can't feel my anger

You can't feel my pain 

You can't feel my torment 

Driving me insane 

I can't fight these feelings, 

they bring only pain

You can't take away

Make me whole again



Mudshovel (8x)



You take away

I feel the same

All these promises

You promised only pain

If you take away

And leave me with nothing again

Cause...



You can't feel my anger

You can't feel my pain 

You can't feel my torment 

Driving me insane 

I can't fight these feelings, 

they will bring me pain

You can't take away

Make me whole again



You will feel my anger

You will feel my pain

You will feel my torment

Driving you insane

I can't fight these feelings, 

they will bring you pain

You won't take away

I'll be whole again



Mudshovel (8x)







(Thanks to Antrax for correcting these lyrics)"
50,50,Pantera,This Love,happy,"If ever words were spoken 
Painful and untrue 
I said I loved but I lied 
In my life 
All I wanted 
Was the keeping 

Of someone like you 

As it turns out 

Deeper within me 

Love was twisted and pointed at you 



Never ending pain, quickly ending life -- 



[Chorus] 

You keep this love, thing, child, toy 

You keep this love, fist, scar, break 

You keep this love 



I'd been the tempting one 

Stole her from herself 

This gift in pain 

Her pain was life 

And sometimes I feel so sorry 

I regret this the hurting of you 

But you make me so unhappy 

I'd take my life and leave love with you 



I'd kill myself for you, I'd kill you for myself -- 



[Chorus] 



No more head trips"
51,51,Chevelle,Send The Pain Below,angry,"I like having hurt, 
So send the pain below where I need it, 
You used to beg me to take care of things, 
And smile at the thought of me failing. 
But long before, having hurt, 

I'd send the pain below, 

I'd send the pain below. 



Much like suffocating, 

Much like suffocating, 

Much like suffocating, 

(I'd send the pain below...) 

Much like suffocating, 

(I'd send the pain below...) 



You used to run me away, 

All while laughing. 

Then cry about the fact, 

'til I returned. 



But long before, having hurt, 

I'd send the pain below, 

I'd send the pain below. 



Much like suffocating, 

Much like suffocating, 

Much like suffocating, 

(I'd send the pain below...) 

Much like suffocating, 

(I'd send the pain below...) 

Much like suffocating. 



I can't feel my chest, 

Need more, drop down, 

Closing in. 



I can't feel my chest, 

Drop down. 



I liked, having hurt. 

So send the pain below, 

So send the pain below, 

(Much like suffocating) [I liked] 

So send the pain below, 

(Much like suffocating) [Having hurt] 

So send the pain below, 

(Much like suffocating) 

So send the pain below, 

(Much like suffocating) 

So send the pain below"
52,52,The Red Hot Chili Peppers,Scar Tissue,sad,"ERROR
AttributeError(""'NoneType' object has no attribute 'name'"")"
53,53,Metallica,Harvester Of Sorrow,angry,"My life suffocates
Planting seeds of hate 
I've loved, turned to hate 
Trapped far beyond my fate 
I give, you take 

This life that I forsake 

Been cheated of my youth 

You turned this lie to truth 



Anger, misery 

You'll suffer unto me 



Harvester of sorrow 

Language of the mad 

Harvester of sorrow 



Pure black, looking clear 

My work is done soon here 

Try getting back to me 

Get back which used to be 



Drink up 

Shoot in 

Let the beatings begin 

Distributor of pain 

Your loss becomes my gain 



Anger 

Misery 

You'll suffer unto me 



Harvester of sorrow 

Language of the mad 

Harvester of sorrow 



All have said their prayers 

Invade their nightmares 

To see into my eyes 

You'll find where murder lies 



Infanticide 



Harvester of sorrow 

Language of the mad 

Harvester of sorrow 

Language of the mad 

Harvester of sorrow"
54,54,Guns N' Roses,Civil War,angry,"""What we've got here is failure to communicate.
Some men you just can't reach...
So, you get what we had here last week
Which is the way he wants it!
Well, he gets it!
N' I don't like it any more than you men.""*

Look at your young men fighting

Look at your women crying

Look at your young men dying

The way they've always done before

Look at the hate we're breeding

Look at the fear we're feeding

Look at the lives we're leading

The way we've always done before

My hands are tied

The billions shift from side to side

And the wars go on with brainwashed pride

For the love of God and our human rights

And all these things are swept aside

By bloody hands time can't deny

And are washed away by your genocide

And history hides the lies of our civil wars

D'you wear a black armband

When they shot the man

Who said ""Peace could last forever""

And in my first memories

They shot Kennedy

An I went numb when I learned to see

So I never fell for Vietnam

We got the wall of D.C. to remind us all

That you can't trust freedom

when it's not in your hands

When everybody's fightin'

for their promised land

And

I don't need your civil war

It feeds the rich while it buries the poor

Your power hungry sellin' soldiers

In a human grocery store

Ain't that fresh

I don't need your civil war

Look at the shoes you're filling

Look at the blood we're spilling

Look at the world we're killing

The way we've always done before

Look in the doubt we've wallowed

Look at the leaders we've followed

Look at the lies we've swallowed

And I don't want to hear no more

My hands are tied

For all I've seen has changed my mind

But still the wars go on as the years go by

With no love of God or human rights

'Cause all these dreams are swept aside

By bloody hands of the hypnotized

Who carry the cross of homicide

And history bears the scars of our civil wars

""We practice selective annihilation of mayors

and government officials

for example to create a vacuum

Then we fill that vacuum

as popular war advances.

Peace is closer""**

I don't need your civil war

It feeds the rich while it buries the poor

Your power hungry sellin' soldiers

In a human grocery store

Ain't that fresh

I don't need your civil war

I don't need your civil war

Your power hungry sellin' soldiers

In a human grocery store

Ain't that fresh

I don't need your civil war

I don't need one more war

I don't need one more war

Whaz so civil 'bout war anyway"
55,55,Shadows Fall,King Of Nothing,angry,"It was gone before you ever had a chance
lost forever in your disapproving glance
I see your face
it's twisted with shock
falling from grace

you deserve what you got



The ice surrounds you now



You can't pretend

all that you want

I've seen the pain

and all the evil you brought



Quit your fucking crying

and swallow all your pills

your not the only one

with the urge to kill

grab the dusty bottle

and let the liquor spill

devoid of life

death is your final thrill



Bloodshot eyes

can see right through the selfish lies

search forever for a fix that keeps you high



I see your face

it's twisted with shock

falling from grace

you deserve what you got



My hands around your throat



You can't pretend

all that you want

I've seen the pain

and all the evil you brought



I am the king of nothing

over emptiness i reign

drown the sorrow

wash away the pain"
56,56,Comeback Kid,Do Yourself A Favor,sad,"I want to know how the story goes 
and if the sad song writes about how much you know 
about what really happened. Obviously 
you've got a skewed view or you weren't present to see.
With a healthy dose of evident 

fabrication filling us in.

I want to know where you're coming from 

and where you're going. Have you come undone? 

There's a vitamin in this tune. 

Step back a little bit. Give yourself room.



When you say, when you say how it used to be, 

understand I don't need the waste following me. 

When you say, when you say how it used to be, 

understand I don't need the waste following me. 

When you say, when you say how it used to be, 

understand I don't need the waste following me. 



Winding it up. 

Twist It. Undone.

Winding it up. 

Twist It. Undone.



When you say, when you say

I want to know how the story goes 

and if the sad song writes about how much you know 

about what really happened. Obviously 

you've got a skewed view or you weren't present to see.



With a healthy dose of evident 

fabrication filling us in. 

I want to know where you're coming from 

and where you're going. Have you come undone? 

There's a vitamin in this tune. 

Do yourself a favor. Give yourself room.



When you say, when you say how it used to be, 

understand I don't need the waste following me. 

Aww!

When you say, when you say how it used to be, 

understand I don't need the waste following me. 

When you say, when you say how it used to be, 

understand I don't need the waste following me. 

Me!"
57,57,Rob Zombie,Superbeast,sad,"Shriek the lips
Across ragged tongue,
Convulsing together.Sing
violently, Move the jaw
Cry aloud. Bound up the Dead
Triumphantly 



The ragged they come and

The ragged they kill!

You pray so hard on bloody knees.

The ragged they come and

The ragged they kill!

Down in the cool air I can see. 



Hey, Yeah - I'm the one that you wanted

Hey, Yeah - I'm your Superbeast

Hey, Yeah - I'm the one that you wanted

Hey, Yeah - I'm your Superbeast 



Stir the limbs across the wrist,

Full possession of memory.

Bury me as a dog, 

Icy hands surrounding me. 



The ragged they come and

The ragged they kill!

You pray so hard on bloody knees.

The ragged they come and

The ragged they kill!

Down in the cool air I can see. 



Hey, Yeah - I'm the one that you wanted

Hey, Yeah - I'm your Superbeast

Hey, Yeah - I'm the one that you wanted

Hey, Yeah - I'm your Superbeast 



Shriek the lips

Across ragged tongue,

Convulsing together.Sing

violently, Move the jaw

Cry aloud. Bound up the Dead

Triumphantly 



The ragged they come and

The ragged they kill!

You pray so hard on bloody knees.

The ragged they come and

The ragged they kill!

Down in the cool air I can see. 



Hey, Yeah - I'm the one that you wanted

Hey, Yeah - I'm your Superbeast

Hey, Yeah - I'm the one that you wanted

Hey, Yeah - I'm your Superbeast"
58,58,Pearl Jam,Why Go,relaxed,"she scratches a letter
into a wall made of stone
maybe someday
another child
won't feel as alone as she does

it's been two years

and counting

since they put her in this place

she's been diagnosed

by some stupid fuck

and mommy agrees

why go home?

why go home?

why go home...



she seems to be stronger

but what they want her to be is weak

she could just pretend

she could play the game

she could be another clone



why go home?



what you taught me

don't come visit

put me here

mommy dear"
59,59,Scorpions,Rock You Like A Hurricane,angry,"It's early morning
The sun comes out
Last night was shaking
And pretty loud
My cat is purring
And scratches my skin

So what is wrong

With another sin

The bitch is hungry

She needs to tell

So give her inches

And feed her well

More days to come

New places to go

I've got to leave

It's time for a show



Here I am, rock you like a hurricane

Here I am, rock you like a hurricane



My body is burning

It starts to shout

Desire is coming

It breaks out loud

Lust is in cages

Till storm breaks loose

Just have to make it

With someone I choose

The night is calling

I have to go

The wolf is hungry

He runs the show

He's licking his lips

He's ready to win

On the hunt tonight

For love at first sting



Here I am, rock you like a hurricane

Here I am, rock you like a hurricane

Here I am, rock you like a hurricane

Here I am, rock you like a hurricane"
60,60,Nine Inch Nails,Terrible Lie,angry,"hey God, why are you doing this to me?
am i not living up to what i'm supposed to be?
why am i seething with this animosity?
hey God, i think you owe me a great big apology"
61,61,Stone Temple Pilots,Wicked Garden,angry,"Can you see like a child?
Can you see what I want?
I wanna run through your wicked garden
Heard that's the place to find ya
Cause I'm alive So alive now
I know the darkness blinds you



Can you see without eyes?

Can you speak without lies?

I wanna drink from your naked fountain

i can drown your sorrows

I'm gonna burn Burn you to life now

Out of the chains that bind you



Can you see just like a child?

Can you see just what I want?

Can I bring you back to life?

Are you still alive?



Burn

Burn your wicked garden down

Burn your wicked garden to the ground



Can you feel pain inside?

Can you love?

Can you cry?

I wanna run through your wicked garden

Heard that's the place to find ya

Cause I'm alive So Alive now

I know the darkness blinds you



Can you see just like a child?

Can you see just what I want?

Can I bring you back to life?

Are you still alive?



Burn"
62,62,Smashing Pumpkins,Bullet With Butterfly Wings,angry,"The world is a vampire
sent to drain
Secret destroyers
hold you up to the flames
And what do I get
for my pain?

Betrayed desires

and a piece of the game



Even though I know 

I suppose I'll show

All my cool and cold

like old job



Despite all my rage I am still just a rat in a cage

Despite all my rage I am still just a rat in a cage

Then someone will say what is lost can never be saved

Despite all my rage I am still just a rat in a cage



Now I'm naked

nothing but an animal

But can you fake it

for just one more show?

And what do you want? 

I want to change

And what have you got?

When you feel the same



Even though I know 

I suppose I'll show

All my cool and cold

like old job



Despite all my rage I am still just a rat in a cage

Despite all my rage I am still just a rat in a cage

Then someone will say what is lost can never be saved

Despite all my rage I am still just a rat in a cage



Tell me I'm the only one

tell me there's no other one

Jesus was an only son

Tell me I'm the chosen one

Jesus was an only son for you



Despite all my rage I am still just a rat in a cage

Despite all my rage I am still just a rat in a cage

Then someone will say what is lost can never be saved

Despite all my rage I am still just a rat in a cage 

Despite all my rage i am still just a rat in a 

Despite all my rage i am still just a rat in a 

Despite all my rage i am still just a rat in a cage 



Tell me I'm the only one, tell me there's no other one

Jesus was an only son for you 



And I still believe that I cannot be saved 

And I still believe that I cannot be saved 

And I still believe that I cannot be saved

And I still believe that I cannot be saved"
63,63,Nirvana,Come As You Are,angry,"Come as you are, as you were, 
As I want you to be 
As a friend, as a friend, as an old enemy. 
Take your time, hurry up 
The choice is yours, don't be late. 
Take a rest, as a friend, as an old memoria

Memoria

Memoria

Memoria



Come dowsed in mud, soaked in bleach 

As I want you to be 

As a trend, as a friend, as an old enemy, yeah

Memoria

Memoria

Memoria



And I swear that I don't have a gun 

No, I don't have a gun

No, I don't have a gun



Memoria

Memoria

Memoria

Memoria 



And I swear that I don't have a gun 

No, I don't have a gun

No, I don't have a gun

No, I don't have a gun

No, I don't have a gun

No, I don't have a gun



Memoria

Memoria"
64,64,Black Sabbath,War Pigs,angry,"Generals gathered in their masses,
just like witches at black masses.
Evil minds that plot destruction,
sorcerers of death's construction.
In the fields the bodies burning,
as the war machine keeps turning.

Death and hatred to mankind,

poisoning their brainwashed minds...Oh lord yeah!



Politicians hide themselves away

They only started the war

Why should they go out to fight?

They leave that role to the poor



Time will tell on their power minds

Making war just for fun

Treating people just like pawns in chess

Wait `till their judgement day comes, yeah!



Now in darkness, world stops turning,

as you hear the bodies burning.

No more war pigs of the power,

hand of god has struck the hour.

Day of judgement, god is calling, 

on their knees the war pigs crawling.

Begging mercy for their sins,

Satan, laughing, spreads his wings...Oh lord, yeah!"
65,65,Korn,Everything I've Known,angry,"Always, I see it's going down
Today, Hoping in time,
Will bury all this time
And will awake something inside
We pushed button far inside

We feel our hearts

and then we fight



Hey, I know feels like I lost everything

That I've known, I cannot survive alone

It feels like I lost everything I known



Our lives, were good in everywhere

too late, time after time

all love turned to hate

but we stayed by each others side



We pushed button far inside

We feel our hearts

and then we fight



Hey, I know feels like I lost everything

That I've known, I cannot survive alone

It feels like I lost everything I known



I keep holding on, I feel i'm where I belong

Everytime time we fight, it feels so wrong

I feel so enslaved fuck my bride

Then we meet again



We pushed button far inside

We feel our hearts

and then we fight



Hey, I know feels like I lost everything

That I've known, I cannot survive alone

It feels like I lost everything I known"
66,66,Disturbed,Indestructible,angry,"Another mission
The powers have called me away
Another time
To carry the colors again
My motivation
An oath I've sworn to defend

To win the honor

Of coming back home again

No explanation

Will matter after we begin

Another dark destroyer that's buried within

My true vocation

And know my unfortunate friend

You will discover

A war you're unable to win



I'll have you know

That I've become...



Indestructible

Determination that is incorruptible

From the other side

A terror to behold

Annihilation will be unavoidable

Every broken enemy will know

That their opponent had to be invincible

Take a last look around while you're alive

I'm an indestructible master of war



Another reason

Another cause for me to fight

Another fuse uncovered

Now, for me to light

My dedication

To all that I've sworn to protect

I carry out my orders

With not a regret

A declaration

Embedded deep under my skin

A permanent reminder

Of how we began

No hesitation

When I am commanding the strike

You need to know

That you're in for the fight of your life



You will be shown

How I've become....



Indestructible

Determination that is incorruptible

From the other side

A terror to behold

Annihilation will be unavoidable

Every broken enemy will know

That their opponent had to be invincible

Take a last look around while you're alive

I'm an indestructible master of war



I'm...



Indestructible

Determination that is incorruptible

From the other side

A terror to behold

Annihilation will be unavoidable

Every broken enemy will know

That their opponent had to be invincible

Take a last look around while you're alive

I am indestructible (indestructible)



Indestructible

Determination that is incorruptible

From the other side

A terror to behold

Annihilation will be unavoidable

Every broken enemy will know

That their opponent had to be invincible

Take a last look around while you're alive

I'm an indestructible master of war"
67,67,Three Days Grace,Riot,angry,"If you feel so empty
So used up let down
If you feel so angry
So ripped off so stepped on
You're not the only one
Refusing to back down

You're not the only one

So get up



Let's start a riot, a riot!

Let's start a riot!

Let's start a riot, a riot!

Let's start a riot!



If you feel so filthy

So dirty so fucked up

If you feel so walked on

So painful so pissed off

You're not the only one

Refusing to go down

You're not the only one

So get up



Let's start a riot, a riot!

Let's start a riot!

Let's start a riot, a riot!

Let's start a riot!



If you feel so empty

So used up, so let down

If you feel so angry

Just get up



Let's start a riot, a riot!

Let's start a riot!

Let's start a riot, a riot

Let's start a riot!



Let's start a riot, a riot!

Let's start a riot!



(A riot)



Let's start a riot, a riot!

Let's start a riot!

Let's start a riot, a riot!



LET'S START A RIOT!!!!"
68,68,Dierks Bentley,Free And Easy ,relaxed,"2 ContributorsFree and Easy (LIVE) LyricsPair of boots and a sack of clothes
Free and easy down the road I go
Hangin' memories on the high line poles
Free and easy down the road I go
Free and easy down the road I go

Ragweed's rockin' on the radio
Free and easy down the road I go
So i keep rollin' like an old banjo
Free and easy down the road I go

Got the sun shinin' on me like a big spotlight
So I know everything is gonna be alright

Sin't no tellin' where the wind might blow
Free and easy down the road I go
Livin' life like a Sunday stroll
Free and easy down the road I go
Free and easy down the road I go

If you only get to go around one time
I'm gonna sit back and try to enjoy the ride

I could make a million or wind up broke
Free and easy down the road I go
Can't take it with you when you go so
Free and easy down the road I go
Someday I know it's gonna take me home so
Free and easy down the road I go
Free and easy down the road I goSee Dierks Bentley LiveGet tickets as low as $73You might also likeEmbed
Pair of boots and a sack of clothes
Free and easy down the road I go
Hangin' memories on the high line poles
Free and easy down the road I go
Free and easy down the road I go

Ragweed's rockin' on the radio
Free and easy down the road I go
So i keep rollin' like an old banjo
Free and easy down the road I go

Got the sun shinin' on me like a big spotlight
So I know everything is gonna be alright

Sin't no tellin' where the wind might blow
Free and easy down the road I go
Livin' life like a Sunday stroll
Free and easy down the road I go
Free and easy down the road I go

If you only get to go around one time
I'm gonna sit back and try to enjoy the ride

I could make a million or wind up broke
Free and easy down the road I go
Can't take it with you when you go so
Free and easy down the road I go
Someday I know it's gonna take me home so
Free and easy down the road I go
Free and easy down the road I go"
69,69,Kenny Chesney,When The Sun Goes Down ,relaxed,"Sun tanned toes ticklin the sand
Cold drink chillin in my right hand
Watchin you sleep in the evening light
Restin up for a long, long night
[Chorus:]

Cause when the sun goes down, we'll be groovin

When the sun goes down, we'll be feelin all right

When the sun sinks down over the water

Everything gets hotter when the sun goes down



All day long just takin it easy

Layin in the hammock where it's nice and breezy

Sleepin off the night before

Cause when the sun goes down, we'll be back for more



[Chorus:]

When the sun goes down, we'll be groovin

When the sun goes down,we'll be feeling alright

When the sun sinks down over the water

Everything gets hotter when the sun goes down



This old guitar and my dark sunglasses

This sweet concoction is smooth as molasses

Nothing to do but breathe all day

Until the big moon rises and it's time to play





When the sun goes down, we'll be grooving

When the sun goes down, we'll be feeling alright

When the sun sinks down over the water

She thinks Kracker's Sexy when the sun goes down



We'll be feeling alright

When the sun sinks down over the water

Uncle Kennys' hotter when the sun goes down



When the sun goes down, we'll be groovin

When the sun goes down, hey Uncle Kenny

When the sun goes down over the water,

Everything is hotter when the sun goes down"
70,70,Zac Brown Band,Free,relaxed,"So we live out in our old van
Travel all across this land
Me and you 
We'll end up hand in hand
Somewhere down on the sand

Me and you



Just as free

Free as we'll ever be

Just as free

Free as we'll ever be



Drive until the city lights

Dissolve into a country sky

Me and you



Lay underneath the Harvest moon

Do all the things that lovers do

Just me and you



Just as free

Free as we'll ever be

Just as free

Free as we'll ever be

Ever be



No we don't have a lot of money

No we don't have a lot of money

No we don't have a lot of money

No we don't have a lot of money

No we don't have a lot of money

No we don't have a lot of money

All we need is love



we're free as we'll ever be

Just as free

Free as we'll ever be

Ever be



So we live out in our old van

Travel all across this land

Me and you







(Thanks to april1182 for correcting these lyrics)"
71,71,Frankie Ballard,Tell Me You Get Lonely,sad,"I bet you're kickin yourself for lettin me walk away
Makin yourself a list of things you wish you didn't say
Sitting by the phone hoping it's gonna ring
Tell me you get lonely when it's cold outside
Tell me that you're only barely gettin by

I need to know it hurts every time that you my name

It ain't the same without me, girl

Tell me you get lonely



Sometimes you're up all night cryin over me

You've gotta take off of work to catch up your sleep

But that just don't work, now does it, baby



Tell me you get lonely when it's cold outside

Tell me that you're only barely gettin by

I need to know it hurts every time that you my name

It ain't the same without me, girl

Tell me you get lonely



Tell me you get lonely, and I'll come back

All you've gotta do is call me , my bag's been packed

I'm dyin of pride, but I want you to know



That I get lonely when it's cold outside

Baby, I'm only barely gettin by

And it still hurts every time that I hear your name

It ain't the same without you, girl



Baby, I get lonely, yeah, I get lonely

Tell me you get lonely too

Tell me you get lonely"
72,72,Faith Hill,The Way You Love Me,happy,"If I could grant
You one wish
I'd wish you could see the way you kiss
Ooh, I love watching you
Baby
When you're driving me crazy



Ooh, I love the way you

Love the way you love me

There's nowhere else I'd rather be

Ooh, to feel the way I feel with your arms around me

I only wish that you could see the way you love me

The way you love



It's not right

It's not fair

What you're missing over there

Someday I'll find a way to show you

Just how lucky I am to know you



Ooh, I love the way you

Love the way you love me

There's nowhere else I'd rather be

Ooh, to feel the way I feel with your arms around me

I only wish that you could see the way you love me

The way you love me



You're the million reasons why

There's love reflecting in my eyes



Ooh, I love the way you

Love the way you love me

There's nowhere else I'd rather be

Ooh, to feel the way I feel with your arms around me

I only wish that you could see the way you love me

The way you love me

The way you love me



Ooh, the way you love me

The way you love me"
73,73,Blake Shelton,Home,relaxed,"Another summer day
Has come and gone away
In Paris and Rome
But I wanna go home
Mmmmmmmm

Maybe surrounded by

A million people I

Still feel all alone

I wanna go home

Oh, I miss you, you know



And I've been keeping all the letters that I wrote to you

Each one a line or two

?I'm fine baby, how are you??

I would send them but I know that it's just not enough

My words were cold and flat

And you deserve more than that



Another airplane

Another sunny place

I'm lucky I know

But I wanna go home

I've got to go home



Let me go home

I'm just too far from where you are

I wanna come home



And I feel just like I'm living someone else's life

It's like I just stepped outside

When everything was going right

And I know just why you could not

Come along with me

This was not your dream

But you always believed in me



Another winter day has come

And gone away

In even Paris and Rome

And I wanna go home

Let me go home



And I'm surrounded by

A million people I

Still feel alone

And I wanna go home

Oh, I miss you, you know



Let me go home

I've had my run

Baby, I'm done

I'm coming back home

Let me go home

It'll all be all right

I'll be home tonight

I'm coming back home"
74,74,Josh Turner,Your Man,relaxed,"Baby lock the door and turn the lights down low
Put some music on that's soft and slow
Baby we ain't got no place to go
I hope you understand
I've been thinking 'bout this all day long

Never felt a feeling quite this strong

I can't believe how much it turns me on

Just to be your man



There's no hurry

Don't you worry

We can take our time

Come a little closer

Lets go over

What I had in mind



Baby lock the door and turn the lights down low

Put some music on that's soft and slow

Baby we ain't got no place to go

I hope you understand



I've been thinking 'bout this all day long

Never felt a feeling quite this strong

I can't believe how much it turns me on

Just to be your man



Ain't nobody ever love nobody

The way that I love you

We're alone now

You don't know how

Long I've wanted to



Lock the door and turn the lights down low

Put some music on that's soft and slow

Baby we ain't got no place to go

I hope you understand



I've been thinking 'bout this all day long

never felt a feeling that was quite this strong

I can't believe how much it turns me on

Just to be your man

I Can't believe how much it turns me on

Just to be your man"
75,75,Alice Cooper,Welcome To My Nightmare,angry,"Welcome to my nightmare I think you're gonna like it I think you're gonna feel like you belong
A nocturnal vacation unnecessary sedation you want to feel at home 'cause you belong
Welcome to my nightmare whoa oh oh oh
Welcome to my breakdown I hope I didn't scare you that's just the way we are when we come down
We sweat laugh and scream here 'cuz life is just a dream here you know inside you feel right at home here
Welcome to my breakdown whoa oh oh oh you're welcome to my nightmare yeah eh yeah eh

Welcome to my nightmare I think you're gonna like it I think you're gonna feel you belong

]We sweat laugh and scream here 'cuz life is just a dream here you know inside you feel right at home here

Welcome to my nightmare ooh ooh ooh ooh welcome to my breakdown yeah"
76,76,Led Zeppelin,Rock And Roll,sad,"It's been a long time since I Rock and Rolled,
It's been a long time since I did the Stroll.
Ooh, let me get it back, let me get it back,
Let me get it back, baby, where I come from.
It's been a long time, been a long time,
Been a long lonely, lonely, lonely, lonely, lonely time.

Yes it has.

It's been a long time since the book of love,

I can't count the tears of a life with no love.

Carry me back, carry me back,

Carry me back, baby, where I come from.

It's been a long time, been a long time,

Been a long lonely, lonely, lonely, lonely, lonely time.

Aaaaaaaah aaaaaaaah



Seems so long since we walked in the moonlight,

Making vows that just can't work right.

Open your arms, opens your arms,

Open your arms, baby, let my love come running in.

It's been a long time, been a long time,

Been a long lonely, lonely, lonely, lonely, lonely time.

Yeaaaaah hey

Yeaaaaah hey

Yeaaaaah hey

Yeaaaaah hey

Uh yeah uh yeah

Uh yeah uh yeah

It's been a long time, been a long time,

Been a long lonely, lonely, lonely, lonely, lonely time."
77,77,Joan Jett & The Blackhearts,I Hate Myself For Loving You,angry,"25 ContributorsI Hate Myself for Loving You Lyrics[Verse 1]
Midnight, gettin' uptight, where are you?
You said you'd meet me, now it's quarter to two
I know I'm hangin' but I'm still wantin' you
Hey Jack, it's a fact they're talkin' in town
I turn my back and you're messin' around
I'm not really jealous, don't like lookin' like a clown

[Pre-Chorus]
I think of you every night and day
You took my heart and you took my pride away

[Chorus]
I hate myself for loving you
Can't break free from the things that you do
I wanna walk but I run back to you
That's why I hate myself for loving you
Ow! Uh

[Verse 2]
Daylight, spent the night without you
But I've been dreamin' 'bout the lovin' you do
I'm over bein' angry 'bout the hell you put me through
Hey, man, bet you can treat me right
You just don't know what you was missin' last night
I wanna see you begging, say forget it just for spite
See Joan Jett and the Blackhearts LiveGet tickets as low as $90You might also like[Pre-Chorus]
I think of you every night and day
You took my heart and you took my pride away

[Chorus]
I hate myself for loving you
Can't break free from the things that you do
I wanna walk but I run back to you
That's why I hate myself for loving you
Ow! Uh

[Guitar Solo]

[Pre-Chorus]
I think of you every night and day
You took my heart and you took my pride away

[Chorus]
I hate myself for loving you
Can't break free from the things that you do
I wanna walk but I run back to you
That's why I hate myself for loving you
Ow! Uh

[Chorus]
I hate myself for loving you
Can't break free from the things that you do
I wanna walk but I run back to you
That's why I hate myself for loving you
Ow! Uh
[Outro]
I hate myself for loving you
I hate myself for loving you
I hate myself for loving you
I hate myself
I hate myself for loving you2Embed
[Verse 1]
Midnight, gettin' uptight, where are you?
You said you'd meet me, now it's quarter to two
I know I'm hangin' but I'm still wantin' you
Hey Jack, it's a fact they're talkin' in town
I turn my back and you're messin' around
I'm not really jealous, don't like lookin' like a clown

[Pre-Chorus]
I think of you every night and day
You took my heart and you took my pride away

[Chorus]
I hate myself for loving you
Can't break free from the things that you do
I wanna walk but I run back to you
That's why I hate myself for loving you
Ow! Uh

[Verse 2]
Daylight, spent the night without you
But I've been dreamin' 'bout the lovin' you do
I'm over bein' angry 'bout the hell you put me through
Hey, man, bet you can treat me right
You just don't know what you was missin' last night
I wanna see you begging, say forget it just for spite

[Pre-Chorus]
I think of you every night and day
You took my heart and you took my pride away

[Chorus]
I hate myself for loving you
Can't break free from the things that you do
I wanna walk but I run back to you
That's why I hate myself for loving you
Ow! Uh

[Guitar Solo]

[Pre-Chorus]
I think of you every night and day
You took my heart and you took my pride away

[Chorus]
I hate myself for loving you
Can't break free from the things that you do
I wanna walk but I run back to you
That's why I hate myself for loving you
Ow! Uh

[Chorus]
I hate myself for loving you
Can't break free from the things that you do
I wanna walk but I run back to you
That's why I hate myself for loving you
Ow! Uh

[Outro]
I hate myself for loving you
I hate myself for loving you
I hate myself for loving you
I hate myself
I hate myself for loving you"
78,78,Jonny Lang,Lie To Me,angry,"Lie to me and tell me everything is all right
Lie to me and tell me that you'll stay here tonight
Tell me that you'll never leave
Oh, and I'll just try to make believe
That everything, everything your telling me is true
Come on baby won't you just



Lie to me, go ahead and lie to me



Lie to me, it doesn't matter anymore

It could never be, the way it was before

If I can't hold on to you

Leave me somethin' I can hold onto

For just a little while won't you, won't you let me be



Oh, anyone can see

That you love him more than me

But right now baby let me pretend

That our love will never end



Lie to me, go ahead and lie to me"
79,79,The Doors,Love Her Madly,happy,"Don't ya love her madly
Don't ya need her badly
Don't ya love her ways
Tell me what you say
Don't ya love her madly

Wanna be her daddy

Don't ya love her face

Don't ya love her as she's walkin' out the door

Like she did one thousand times before



Don't ya love her ways

Tell me what you say

Don't ya love her as she's walkin' out the door



All your love

All your love

All your love

All your love



All your love is gone

So sing a lonely song

Of a deep blue dream

Seven horses seem to be on the mark



Yeah, don't you love her

Don't you love her as she's walkin' out the door



All your love

All your love

All your love



Yeah, all your love is gone

So sing a lonely song

Of a deep blue dream

Seven horses seem to be on the mark



Well, don't ya love her madly

Don't ya love her madly

Don't ya love her madly"
80,80,Eric Clapton,Cocaine,angry,"If you wanna hang out you've got to take her out, cocaine.
If you wanna get down, down on the ground, cocaine.
She don't lie, she don't lie, she don't lie, cocaine.
If you got bad news, you wanna kick them blues, cocaine.
When your day is done and you wanna run, cocaine.

She don't lie, she don't lie, she don't lie, cocaine.



If your thing is gone and you wanna ride on, cocaine.

Don't forget this fact, you can't get it back, cocaine.

She don't lie, she don't lie, she don't lie, cocaine.



She don't lie, she don't lie, she don't lie, cocaine."
